epoch,accuracy,loss,val_accuracy,val_loss
0,0.8417500257492065,0.43922218680381775,NA,NA
1,0.8939499855041504,0.29029586911201477,NA,NA
2,0.9078166484832764,0.24793997406959534,NA,NA
3,0.9194333553314209,0.21438068151474,NA,NA
4,0.930816650390625,0.18653105199337006,NA,NA
5,0.939716637134552,0.16312409937381744,NA,NA
6,0.9475499987602234,0.140764057636261,NA,NA
7,0.9525666832923889,0.12348412722349167,NA,NA
8,0.9593833088874817,0.10782480984926224,NA,NA
9,0.9644166827201843,0.09536372125148773,NA,NA
10,0.968999981880188,0.08198083192110062,NA,NA
11,0.9714166522026062,0.0750090554356575,NA,NA
12,0.9760833382606506,0.06408065557479858,NA,NA
13,0.9782166481018066,0.0587306022644043,NA,NA
14,0.9800666570663452,0.05260013788938522,NA,NA
15,0.9819666743278503,0.04832807183265686,NA,NA
16,0.984416663646698,0.04243555665016174,NA,NA
17,0.9840166568756104,0.043322328478097916,NA,NA
18,0.9861500263214111,0.03819142282009125,NA,NA
19,0.986133337020874,0.037158478051424026,NA,NA
20,0.9879999756813049,0.03241167962551117,NA,NA
21,0.988099992275238,0.03244775906205177,NA,NA
22,0.9894833564758301,0.029042012989521027,NA,NA
23,0.9891833066940308,0.029178956523537636,NA,NA
24,0.9894000291824341,0.029635516926646233,NA,NA
25,0.9902833104133606,0.028431899845600128,NA,NA
26,0.9905333518981934,0.026995370164513588,NA,NA
27,0.9907666444778442,0.025700325146317482,NA,NA
28,0.9912499785423279,0.024492740631103516,NA,NA
29,0.9926499724388123,0.021593673154711723,NA,NA
